index,btor_time
picorv32_mutAX_nomem-p0.btor,0.001
picorv32_mutAX_nomem-p2.btor,0.002
picorv32_mutAX_nomem-p5.btor,0.001
picorv32_mutAY_nomem-p1.btor,0.002
picorv32_mutAY_nomem-p4.btor,0.002
picorv32_mutAY_nomem-p6.btor,0.002
picorv32_mutBX_nomem-p0.btor,0.002
picorv32_mutBX_nomem-p5.btor,0.001
picorv32_mutBX_nomem-p8.btor,0.002
picorv32_mutBY_nomem-p1.btor,0.0
picorv32_mutBY_nomem-p3.btor,0.002
picorv32_mutBY_nomem-p4.btor,0.002
picorv32_mutBY_nomem-p6.btor,0.002
picorv32_mutBY_nomem-p7.btor,0.002
picorv32_mutCX_nomem-p0.btor,0.001
picorv32_mutCX_nomem-p8.btor,0.002
picorv32_mutCY_nomem-p0.btor,0.002
picorv32_mutCY_nomem-p3.btor,0.002
