index,btor_time,status
cal102.btor2,297.04200000000003,unknown
cal106.btor2,297.504,unknown
cal107.btor2,297.329,unknown
cal112.btor2,297.132,unknown
cal117.btor2,297.944,unknown
cal118.btor2,296.225,unknown
cal119.btor2,298.351,unknown
cal122.btor2,297.671,unknown
cal123.btor2,296.943,unknown
cal125.btor2,297.162,unknown
cal129.btor2,298.325,unknown
cal140.btor2,297.323,unknown
cal142.btor2,297.478,unknown
cal143.btor2,299.06600000000003,unknown
cal149.btor2,299.194,unknown
cal156.btor2,297.121,unknown
cal159.btor2,0.001,unsat
cal161.btor2,0.002,unsat
cal162.btor2,0.002,unsat
cal176.btor2,298.663,unknown
cal192.btor2,295.539,unknown
cal2.btor2,298.509,unknown
cal201.btor2,294.819,unknown
cal206.btor2,295.072,unknown
cal209.btor2,296.488,unknown
cal21.btor2,6.415,unsat
cal210.btor2,297.452,unknown
cal220.btor2,0.001,
cal224.btor2,0.003,
cal227.btor2,297.076,unknown
cal234.btor2,296.053,unknown
cal33.btor2,73.549,unsat
cal34.btor2,299.741,unknown
cal35.btor2,11.7,unsat
cal37.btor2,11.163,unsat
cal4.btor2,3.367,unsat
cal41.btor2,7.711,unsat
cal81.btor2,0.002,unsat
cal84.btor2,297.501,unknown
cal86.btor2,297.849,unknown
cal87.btor2,297.998,unknown
cal90.btor2,298.501,unknown
cal97.btor2,296.911,unknown
cal99.btor2,298.071,unknown
gen10.btor2,1.741,unsat
gen12.btor2,1.828,unsat
gen14.btor2,1.865,unsat
gen21.btor2,1.655,unsat
gen31.btor2,31.625,unsat
gen35.btor2,11.918,unsat
gen39.btor2,3.766,unsat
gen43.btor2,299.71500000000003,unknown
gen44.btor2,299.513,unknown
h_RCU.btor2,2.31,unsat
h_TreeArb.btor2,1.5,unsat
miim.btor2,0.515,unsat
mul1.btor2,297.655,unknown
mul2.btor2,295.932,unknown
mul3.btor2,293.324,unknown
mul7.btor2,31.554,sat
mul9.btor2,297.779,unknown
paper_v3.btor2,0.001,unsat
vcegar_QF_BV_ar.btor2,0.001,unsat
vcegar_QF_BV_itc99_b13_p10.btor2,0.001,
vcegar_arrays_itc99_b12_p2.btor2,2.146,unsat
vis_arrays_am2901.btor2,0.998,sat
vis_arrays_am2910_p1.btor2,0.653,unsat
vis_arrays_am2910_p2.btor2,0.291,unsat
vis_arrays_am2910_p3.btor2,1.081,unsat
vis_arrays_buf_bug.btor2,4.608,sat
vis_arrays_bufferAlloc.btor2,4.371,unsat
